asn;country
60095;Russian Federation
60098;Russian Federation
60099;Lithuania
60108;Russian Federation
60110;Ireland
60111;Denmark
60117;United Arab Emirates
60118;Romania
60119;Russian Federation
60124;Russian Federation
60130;Norway
60134;Spain
60138;Iran
60139;Russian Federation
60140;United Arab Emirates
60144;Netherlands
60146;Turkey
60159;Ukraine
60165;Russian Federation
60168;Bulgaria
60171;Spain
60172;Russian Federation
60175;Germany
60178;Iran
60182;Bulgaria
60190;Switzerland
60191;Poland
60192;Russian Federation
60193;United Kingdom
60197;France
60198;United Kingdom
60200;United Kingdom
60202;Bulgaria
60203;Spain
60213;Sweden
60224;Russian Federation
60227;Italy
60235;Germany
60243;Poland
60245;Russian Federation
60252;Russian Federation
60255;United Kingdom
60256;Iran
60257;United Kingdom
60258;Azerbaijan
60260;Italy
60267;Spain
60273;Spain
60275;Czech Republic
60279;Poland
60280;Belarus
60281;United States
60292;Russian Federation
60294;Germany
60296;Slovakia
60304;Albania
60308;Russian Federation
60312;Russian Federation
60316;Germany
60323;Poland
60325;Greece
60329;Russian Federation
60330;Belarus
60333;United Kingdom
60336;Poland
60341;Netherlands
60346;Russian Federation
60352;Albania
60358;Netherlands
60366;Russian Federation
60367;Belarus
60369;Turkey
60372;Lebanon
60377;United Kingdom
60378;Poland
60386;Ukraine
60388;Russian Federation
60397;Spain
60398;Lebanon
60399;Poland
60401;Ukraine
60404;Netherlands
60405;Moldova
60411;Kazakhstan
60415;Estonia
60421;Poland
60426;United Kingdom
60427;France
60432;Italy
60441;Bulgaria
60442;Russian Federation
60447;Bulgaria
60451;Italy
60453;Romania
60455;Ukraine
60457;Bulgaria
60458;Spain
60459;Russian Federation
60460;Italy
60463;Poland
60466;Poland
60468;Poland
60470;Russian Federation
60475;Italy
60478;Switzerland
60479;Netherlands
60484;Russian Federation
60485;United States
60490;Russian Federation
60494;Spain
60496;Russian Federation
60501;Italy
60510;Russian Federation
60511;Russian Federation
60516;Iran
60517;Austria
60522;Germany
60530;Italy
60533;Slovakia
60535;Russian Federation
60541;United Kingdom
60548;Germany
60551;Spain
60552;Poland
60554;Russian Federation
60555;France
60556;Russian Federation
60558;United States
60563;Poland
60567;Belize
60569;Russian Federation
60582;Sweden
60587;Austria
60589;Poland
60591;Belarus
60592;Czech Republic
60597;Greece
60599;Russian Federation
60602;Moldova
60603;Russian Federation
60609;Spain
60610;United Kingdom
60612;Russian Federation
60619;Hungary
60627;Iran
60630;France
60631;Iran
60636;Israel
60637;Iran
60641;France
60642;Russian Federation
60643;Russian Federation
60645;Poland
60646;Poland
60651;Russian Federation
60656;Bulgaria
60662;Sweden
60672;United Kingdom
60673;Hungary
60675;Spain
60679;Netherlands
60687;Norway
60690;Iceland
60691;Russian Federation
60695;Poland
60700;Ukraine
60706;Italy
60713;Poland
60715;Slovakia
60717;Norway
60718;France
60720;Russian Federation
60721;Turkey
60722;Russian Federation
60731;Russian Federation
60732;Russian Federation
60736;United Kingdom
60738;Russian Federation
60740;Russian Federation
60747;Russian Federation
60754;Ukraine
60756;Italy
60757;Kazakhstan
60764;Russian Federation
60769;Belarus
60771;Russian Federation
60777;Ukraine
60781;Netherlands
60782;Poland
60784;Bulgaria
60786;Iran
60789;Germany
60791;Slovakia
60795;Poland
60798;Italy
60800;United Kingdom
60804;Switzerland
60806;Poland
60809;Poland
60811;Iran
60816;Poland
60819;United Kingdom
60822;Italy
60825;United Kingdom
60827;Russian Federation
60834;Russian Federation
60839;Ukraine
60840;Russian Federation
60848;Norway
60853;Belgium
60854;Russian Federation
60855;France
60856;Russian Federation
60860;Ukraine
60871;Serbia
60872;Russian Federation
60873;Russian Federation
60876;Denmark
60879;Russian Federation
60880;Netherlands
60884;Poland
60886;Israel
60887;Iran
60891;Russian Federation
60893;Netherlands
60895;Slovakia
60905;Romania
60907;Romania
60909;Romania
60917;Spain
60920;Poland
60924;Ireland
60929;British Virgin Islands
60931;Czech Republic
60932;Iran
60936;Russian Federation
60943;Italy
60953;Ukraine
60954;Russian Federation
60971;Russian Federation
60976;Iran
60980;Russian Federation
60981;United Kingdom
60983;France
60986;Russian Federation
60989;Italy
60991;Germany
60992;Kuwait
60993;Romania
60994;France
60996;Romania
61000;Italy
61006;Norway
61015;France
61021;Russian Federation
61023;Belgium
61026;France
61029;Netherlands
61031;Russian Federation
61032;Denmark
61034;Ukraine
61035;Russian Federation
61042;Switzerland
61044;Netherlands
61046;Bulgaria
61047;France
61052;Russian Federation
61053;Lithuania
61055;Iran
61058;Russian Federation
61060;Netherlands
61066;Bulgaria
61068;Russian Federation
61071;Bulgaria
61078;Poland
61092;South Africa
61094;Croatia
61096;Romania
61098;Switzerland
61101;Ukraine
61102;Israel
61106;Russian Federation
61109;Austria
61111;Russian Federation
61116;Ukraine
61120;Russian Federation
61124;United Kingdom
61127;Latvia
61135;Turkey
61138;United States
61139;Romania
61141;Russian Federation
61145;Ireland
61146;Sweden
61148;Turkey
61152;Russian Federation
61154;Poland
61157;Germany
61166;Czech Republic
61171;Poland
61173;Iran
61174;Switzerland
61179;Romania
61187;Russian Federation
61191;Iran
61196;Kyrgyzstan
61197;Russian Federation
61200;Netherlands
61204;Romania
61205;France
61207;Sweden
61208;Moldova
61209;Iran
61211;Croatia
61213;Norway
61215;United Kingdom
61216;Poland
61225;Romania
61226;United Kingdom
61228;Russian Federation
61230;Russian Federation
61232;Switzerland
61233;Poland
61239;Iran
61240;Ukraine
61246;Iran
61272;Lithuania
61275;Norway
61276;Russian Federation
61288;Poland
61296;Czech Republic
61297;Ukraine
61299;Poland
61301;Bulgaria
61307;Estonia
61308;Russian Federation
61323;United Kingdom
61325;Russian Federation
61331;Netherlands
61337;United Kingdom
61340;Finland
61344;Ukraine
61345;Turkey
61346;Netherlands
61349;Netherlands
61353;Romania
61355;Malta
61364;Albania
61367;Kazakhstan
61371;Ukraine
61372;Russian Federation
61380;Russian Federation
61382;Russian Federation
61384;Ukraine
61386;Iran
61389;Romania
61390;Russian Federation
61396;Russian Federation
61397;Denmark
61400;Russian Federation
61406;Russian Federation
61408;Spain
61416;Czech Republic
61431;Russian Federation
61433;Russian Federation
61437;Bulgaria
61438;Austria
61468;Ecuador
61470;Argentina
61475;Bolivia
61509;Argentina
61510;Argentina
61568;Brazil
61573;Brazil
61577;Brazil
61579;Brazil
61582;Brazil
61583;Brazil
61584;Brazil
61588;Brazil
61591;Brazil
61592;Brazil
61593;Brazil
61605;Brazil
61633;Brazil
61637;Brazil
61638;Brazil
61639;Brazil
61646;Brazil
61650;Brazil
61651;Brazil
61656;Brazil
61659;Brazil
61660;Brazil
61662;Brazil
61663;Brazil
61664;Brazil
61665;Brazil
61668;Brazil
61670;Brazil
61672;Brazil
61675;Brazil
61678;Brazil
61680;Brazil
61681;Brazil
61683;Brazil
61684;Brazil
61685;Brazil
61687;Brazil
61688;Brazil
61689;Brazil
61693;Brazil
61694;Brazil
61696;Brazil
61698;Brazil
61699;Brazil
61702;Brazil
61704;Brazil
61705;Brazil
61706;Brazil
61707;Brazil
61712;Brazil
61713;Brazil
61714;Brazil
61716;Brazil
61718;Brazil
61724;Brazil
61725;Brazil
61726;Brazil
61727;Brazil
61729;Brazil
61731;Brazil
61734;Brazil
61737;Brazil
61738;Brazil
61742;Brazil
61745;Brazil
61748;Brazil
61753;Brazil
61754;Brazil
61755;Brazil
61756;Brazil
61758;Brazil
61761;Brazil
61771;Brazil
61772;Brazil
61773;Brazil
61776;Brazil
61778;Brazil
61782;Brazil
61784;Brazil
61785;Brazil
61786;Brazil
61792;Brazil
61793;Brazil
61794;Brazil
61795;Brazil
61797;Brazil
61798;Brazil
61800;Brazil
61805;Brazil
61806;Brazil
61811;Brazil
61814;Brazil
61817;Brazil
61818;Brazil
61821;Brazil
61822;Brazil
61824;Brazil
61825;Brazil
61828;Brazil
61830;Brazil
61831;Brazil
61832;Brazil
61835;Brazil
61836;Brazil
61838;Brazil
61841;Brazil
61842;Brazil
61844;Brazil
61846;Brazil
61849;Brazil
61856;Brazil
61858;Brazil
61862;Brazil
61864;Brazil
61865;Brazil
61867;Brazil
61874;Brazil
61876;Brazil
61878;Brazil
61882;Brazil
61884;Brazil
61885;Brazil
61886;Brazil
61888;Brazil
61889;Brazil
61890;Brazil
61893;Brazil
61895;Brazil
61900;Brazil
61901;Brazil
61902;Brazil
61904;Brazil
61906;Brazil
61908;Brazil
61910;Brazil
61911;Brazil
61912;Brazil
61914;Brazil
61919;Brazil
61922;Brazil
61923;Brazil
61925;Brazil
61929;Brazil
61930;Brazil
61931;Brazil
61934;Brazil
61935;Brazil
61936;Brazil
61938;Brazil
61941;Brazil
61943;Brazil
61945;Brazil
61949;Brazil
61952;Estonia
61960;Russian Federation
61966;Turkey
61970;Switzerland
61971;Russian Federation
61975;Bulgaria
61979;Russian Federation
61986;Ukraine
61988;Ukraine
61995;Croatia
61996;Bulgaria
61997;Ukraine
61998;Hungary
62000;France
62002;Norway
62006;Russian Federation
62007;Italy
62008;Russian Federation
62010;Russian Federation
62011;Czech Republic
62013;Moldova
62015;Bulgaria
62017;Ireland
62023;Germany
62028;Ukraine
62030;Romania
62031;Poland
62037;Bulgaria
62039;Iran
62040;Russian Federation
62044;Switzerland
62046;Russian Federation
62048;Iran
62054;Italy
62059;United Kingdom
62067;Russian Federation
62068;Netherlands
62069;Russian Federation
62071;Moldova
62091;Ukraine
62095;Turkey
62099;Czech Republic
62100;Lebanon
62103;Russian Federation
62105;Netherlands
62106;Bulgaria
62113;Denmark
62121;Denmark
62123;Bahrain
62127;Romania
62130;Russian Federation
62135;Russian Federation
62136;United Kingdom
62137;Iran
62139;Switzerland
62143;Russian Federation
62146;Ukraine
62149;Austria
62151;Romania
62153;Iran
62156;Austria
62159;Czech Republic
62160;Seychelles
62161;Croatia
62169;Russian Federation
62178;Czech Republic
62179;Lithuania
62183;Sweden
62187;Turkey
62196;Iran
62201;Poland
62205;Russian Federation
62211;Turkey
62214;Hungary
62217;United Kingdom
62218;Russian Federation
62222;Russian Federation
62223;Iraq
62225;Norway
62235;Spain
62238;Iran
62240;United Kingdom
62241;Russian Federation
62246;Russian Federation
62247;Russian Federation
62248;Norway
62250;Iran
62259;Ukraine
62262;United Kingdom
62265;Iran
62266;Russian Federation
62267;United Kingdom
62275;Italy
62276;Austria
62281;Moldova
62282;Lithuania
62284;Iran
62286;Russian Federation
62287;Russian Federation
62291;Germany
62292;Hungary
62293;Russian Federation
62303;United Kingdom
62313;United Kingdom
62314;Russian Federation
62317;Germany
62319;Denmark
62323;Bulgaria
62327;Ukraine
62328;Poland
62331;Russian Federation
62332;Spain
62336;Germany
62337;Moldova
62340;Russian Federation
62343;Romania
62347;Russian Federation
62350;Romania
62352;Spain
62353;Netherlands
62360;Ukraine
62363;Austria
62365;Germany
62366;Russian Federation
62367;Iran
62370;Netherlands
62378;Russian Federation
62386;Bulgaria
62388;Romania
62391;Austria
62393;Poland
62403;British Virgin Islands
62405;Czech Republic
62409;Spain
62410;Russian Federation
62411;Bulgaria
62412;Spain
62413;Russian Federation
62415;Russian Federation
62416;Portugal
62418;Bulgaria
62422;Russian Federation
62423;Russian Federation
62429;Russian Federation
62432;Russian Federation
62439;Russian Federation
62440;Russian Federation
62442;Iran
62443;Russian Federation
62446;Russian Federation
62447;Russian Federation
62448;Romania
62450;Russian Federation
62451;Austria
62452;Saudi Arabia
62453;Latvia
62459;Russian Federation
62865;United States
64114;Peru
64120;Peru
64122;Colombia
131160;Japan
131797;South Korea
131896;Japan
131899;Japan
131907;Japan
131911;Japan
131913;Japan
131914;Japan
131915;Japan
131916;Japan
131918;Japan
131921;Japan
131923;Japan
131926;Japan
131928;Japan
131931;Japan
131933;Japan
131934;Japan
131937;Japan
131939;Japan
131941;Japan
131943;Japan
131954;Japan
131958;Japan
131960;Japan
131970;Japan
134739;Myanmar
135298;Afghanistan
135330;Hong Kong
135391;Hong Kong
137385;Bangladesh
196628;United Kingdom
196633;France
196638;Ukraine
196645;Ukraine
196653;Czech Republic
196657;Russian Federation
196660;Russian Federation
196664;Russian Federation
196666;Poland
196667;Russian Federation
196673;Russian Federation
196681;Poland
196684;Czech Republic
196688;Russian Federation
196691;Russian Federation
196695;Russian Federation
196698;Russian Federation
196705;Ukraine
196708;Italy
196713;Spain
196714;Germany
196716;Russian Federation
196724;Denmark
196726;Russian Federation
196728;Poland
196730;Poland
196733;Turkey
196735;Czech Republic
196737;Ireland
196739;Russian Federation
196740;Ukraine
196742;Russian Federation
196745;United Kingdom
196749;Italy
196750;Russian Federation
196752;Netherlands
196755;Belgium
196762;Czech Republic
196763;Germany
196767;Ukraine
196768;Russian Federation
196773;France
196776;Poland
196777;Ukraine
196780;Russian Federation
196782;Czech Republic
196786;Russian Federation
196789;Russian Federation
196791;Russian Federation
196792;Poland
196797;Russian Federation
196798;Russian Federation
196810;Switzerland
196812;Russian Federation
196815;Czech Republic
196816;Spain
196821;Azerbaijan
196822;Czech Republic
196824;Ukraine
196826;Poland
196829;Ukraine
196838;Albania
196851;Ukraine
196852;Italy
196854;Tajikistan
196863;Ukraine
196865;Italy
196874;San Marino
196879;Russian Federation
196881;United Kingdom
196883;Poland
196884;Russian Federation
196890;Poland
196891;Poland
196893;Russian Federation
196894;Russian Federation
196897;Austria
196900;Slovakia
196901;Poland
196906;Ukraine
196914;Russian Federation
196921;Kuwait
196924;Ukraine
196925;Azerbaijan
196927;Poland
196928;Poland
196936;Russian Federation
196939;Ukraine
196945;Greece
196949;Russian Federation
196952;Czech Republic
196953;Ukraine
196954;Germany
196956;Italy
196957;Ukraine
196961;Azerbaijan
196963;Russian Federation
196966;Italy
196968;Germany
196976;Denmark
196977;Ukraine
196979;Poland
196980;Poland
196983;Italy
196987;Belgium
196991;Russian Federation
196992;Cyprus
196994;Poland
196997;Denmark
197002;Ukraine
197013;Czech Republic
197015;Ukraine
197018;Russian Federation
197019;Czech Republic
197023;Russian Federation
197029;Czech Republic
197033;France
197036;France
197046;Czech Republic
197049;Poland
197052;Russian Federation
197058;Ukraine
197063;Germany
197064;Poland
197066;Switzerland
197070;Russian Federation
197071;Germany
197073;Ukraine
197074;Russian Federation
197078;Russian Federation
197079;Kazakhstan
197080;Russian Federation
197081;France
197082;Austria
197099;Poland
197109;Spain
197113;Poland
197114;France
197119;Kyrgyzstan
197120;Russian Federation
197125;Ukraine
197126;Italy
197129;Ukraine
197131;Ukraine
197133;France
197140;Russian Federation
197143;Turkey
197144;Czech Republic
197146;Poland
197150;Russian Federation
197152;Russian Federation
197153;Russian Federation
197154;Poland
197155;Poland
197156;Netherlands
197159;Ukraine
197162;Poland
197168;Bulgaria
197169;Russian Federation
197171;Russian Federation
197172;Ukraine
197175;Russian Federation
197177;Poland
197181;Poland
197186;Poland
197197;Czech Republic
197201;Poland
197204;Russian Federation
197212;Norway
197216;Bulgaria
197217;Poland
197218;Czech Republic
197219;Netherlands
197221;Ukraine
197223;Azerbaijan
197225;Lithuania
197226;Poland
197229;Georgia
197232;Bulgaria
197233;Poland
197235;Russian Federation
197248;Hungary
197251;Ukraine
197252;Germany
197253;Ukraine
197254;Ukraine
197255;Ukraine
197262;Poland
197263;Ukraine
197269;Germany
197270;Poland
197275;Russian Federation
197276;Russian Federation
197278;Ukraine
197284;Slovakia
197287;Ukraine
197288;Denmark
197293;Italy
197294;Poland
197295;Poland
197296;Czech Republic
197298;Russian Federation
197300;Poland
197301;Denmark
197304;Bulgaria
197306;Russian Federation
197307;Czech Republic
197308;Sweden
197309;Russian Federation
197311;Russian Federation
197315;Russian Federation
197318;Poland
197324;Serbia
197327;Ukraine
197328;Turkey
197335;Ukraine
197336;Poland
197341;Ukraine
197343;Iran
197345;Poland
197349;Russian Federation
197350;Palestine
197352;Switzerland
197364;Ukraine
197373;Ukraine
197375;Poland
197388;Ukraine
197393;Czech Republic
197394;Russian Federation
197398;Slovakia
197400;Poland
197401;Russian Federation
197405;Poland
197406;Russian Federation
197407;United Kingdom
197410;Poland
197415;Luxembourg
197422;France
197423;Serbia
197433;Ukraine
197437;Poland
197442;Czech Republic
197443;Russian Federation
197447;Poland
197451;Czech Republic
197453;Russian Federation
197460;Russian Federation
197461;Russian Federation
197467;Russian Federation
197470;Slovenia
197474;Poland
197475;Norway
197478;Spain
197480;Poland
197481;Ukraine
197490;Ukraine
197492;France
197498;Russian Federation
197499;Russian Federation
197502;Poland
197507;Poland
197520;United Kingdom
197522;Ukraine
197523;Hungary
197524;Germany
197535;Russian Federation
197540;Germany
197542;Czech Republic
197543;Poland
197551;France
197565;Czech Republic
197572;Poland
197575;Czech Republic
197577;Russian Federation
197578;Ukraine
197580;Greece
197588;Poland
197589;Italy
197591;United Kingdom
197592;Poland
197595;Sweden
197605;Poland
197607;Russian Federation
197615;Poland
197618;France
197620;Poland
197623;Sweden
197628;Russian Federation
197632;Russian Federation
197637;Germany
197638;France
197643;Ukraine
197645;Poland
197648;Cyprus
197650;Italy
