asn;country
17676;Japan
8452;Egypt
6713;Morocco
17858;Korea, Republic of
27699;Brazil
2516;Japan
50710;Iraq
28539;Mexico
17506;Japan
38661;Korea, Republic of
26611;Colombia
206067;United Kingdom
206804;Estonia
2527;Japan
24757;Ethiopia
2514;Japan
2497;Japan
24835;Egypt
28359;Brazil
18302;Korea, Republic of
44092;Italy
264668;Ecuador
262183;Paraguay
271024;Brazil
17878;Korea, Republic of
265025;Brazil
268556;Brazil
45011;Sweden
262913;Mexico
270360;Brazil
306;United States
385;United States
267556;Brazil
267438;Brazil
38095;Korea, Republic of
267158;Brazil
263087;Brazil
266216;Brazil
52965;Brazil
9605;Japan
58322;Iraq
9644;Korea, Republic of
53062;Brazil
269096;Brazil
262624;Brazil
262468;Brazil
269084;Brazil
262402;Brazil
262504;Brazil
49588;Ukraine
262314;Brazil
268561;Brazil
268628;Brazil
265442;Brazil
265436;Brazil
49100;Iran, Islamic Republic of
268527;Brazil
30969;United Kingdom
268653;Brazil
267699;Ecuador
267186;Brazil
267093;Brazil
267087;Brazil
52904;Brazil
266265;Brazil
266269;Brazil
52872;Brazil
52871;Brazil
266989;Brazil
52801;Brazil
52933;Brazil
201997;Slovakia
212269;Turkey
27951;Colombia
53061;Brazil
267336;Brazil
27947;Ecuador
201668;Iraq
266181;Brazil
267281;Brazil
53006;Brazil
267276;Brazil
52987;Brazil
266966;Brazil
266935;Brazil
266646;Brazil
266348;Brazil
52641;Brazil
266623;Brazil
52637;Brazil
203877;Serbia
52574;Brazil
205877;Turkey
24863;Egypt
52468;Panama
52684;Brazil
266705;Argentina
52780;Brazil
206663;Ireland
23578;Korea, Republic of
52768;Brazil
52705;Brazil
267378;Brazil
27987;Argentina
199081;Greece
268069;Brazil
17849;Korea, Republic of
17857;Korea, Republic of
17864;Korea, Republic of
266016;Brazil
198668;Czech Republic
267971;Brazil
266038;Brazil
28263;Brazil
18101;India
28368;Brazil
17698;Japan
268200;Brazil
268182;Brazil
265989;Brazil
268177;Brazil
17574;Korea, Republic of
268141;Brazil
265936;Brazil
208821;Turkey
53085;Brazil
267799;Colombia
28126;Brazil
28100;Argentina
208012;Turkey
53144;Brazil
28058;Ecuador
266148;Brazil
267450;Brazil
267427;Brazil
267416;Brazil
53110;Brazil
53087;Brazil
53181;Brazil
28146;Brazil
199312;Spain
267777;Colombia
267749;Peru
18310;Korea, Republic of
18313;Korea, Republic of
28188;Brazil
266104;Brazil
267602;Brazil
266117;Brazil
28178;Brazil
266119;Brazil
196735;Czech Republic
264392;Brazil
262970;Brazil
263262;Brazil
44090;Iran, Islamic Republic of
263022;Brazil
264564;Brazil
8278;Greece
264537;Brazil
270322;Brazil
35348;Romania
263297;Brazil
263276;Brazil
270460;Brazil
2518;Japan
2519;Japan
264404;Brazil
263954;Brazil
263235;Argentina
271281;Brazil
264145;Brazil
264136;Brazil
271842;Peru
264107;Brazil
42705;United Kingdom
42708;Sweden
43513;Latvia
37903;Japan
264263;Brazil
264014;Brazil
271076;Brazil
10013;Japan
9971;Korea, Republic of
9848;Korea, Republic of
61668;Brazil
264952;Brazil
9770;Korea, Republic of
9756;Korea, Republic of
61758;Brazil
263411;Brazil
9689;Korea, Republic of
61228;Russian Federation
269236;Brazil
265217;Brazil
265160;Brazil
60405;Moldova, Republic of
263616;Brazil
263625;Brazil
269464;Brazil
61044;Netherlands
